pi,sigma1,sigma2,Validation Accuracy (%)
0.25,1.0,0.00248,97.83
0.25,1.0,0.000912,97.89
0.25,1.0,0.000335,97.95
0.25,0.368,0.00248,97.88
0.25,0.368,0.000912,97.68
0.25,0.368,0.000335,97.14
0.25,0.135,0.00248,96.82
0.25,0.135,0.000912,96.62
0.25,0.135,0.000335,96.13
0.5,1.0,0.00248,95.55
0.5,1.0,0.000912,95.49
0.5,1.0,0.000335,95.82
0.5,0.368,0.00248,94.93
0.5,0.368,0.000912,94.29
0.5,0.368,0.000335,94.31
0.5,0.135,0.00248,94.26
0.5,0.135,0.000912,94.45
0.5,0.135,0.000335,94.0
0.75,1.0,0.00248,94.81
0.75,1.0,0.000912,94.18
0.75,1.0,0.000335,93.78
0.75,0.368,0.00248,94.24
0.75,0.368,0.000912,93.42
0.75,0.368,0.000335,93.63
0.75,0.135,0.00248,93.81
0.75,0.135,0.000912,93.48
0.75,0.135,0.000335,93.63
