epoch,Bayes,Dropout,Vanilla
1,95.71,95.56,96.33
2,96.4,96.99,97.34
3,97.36,97.6,97.94
4,97.44,97.65,97.98
5,97.58,97.9,98.07
6,97.78,98.03,98.15
7,97.75,98.14,98.13
8,97.79,98.19,98.14
9,97.84,98.14,98.15
10,97.83,98.21,98.16
11,97.73,98.36,98.23
12,98.04,98.31,98.42
13,97.99,98.4,98.37
14,97.86,98.39,98.39
15,97.98,98.35,98.36
16,97.95,98.44,98.35
17,97.87,98.45,98.41
18,97.97,98.33,98.26
19,97.99,98.36,98.19
20,97.96,98.43,98.37
21,97.95,98.51,98.37
22,98.02,98.42,98.34
23,98.01,98.45,98.38
24,97.99,98.4,98.42
25,97.98,98.44,98.41
26,98.07,98.5,98.38
27,97.86,98.47,98.39
28,98.0,98.55,98.39
29,98.04,98.59,98.4
30,98.05,98.48,98.39
31,97.95,98.55,98.43
32,97.98,98.55,98.4
33,97.96,98.49,98.41
34,97.91,98.5,98.38
35,98.0,98.48,98.39
36,98.02,98.5,98.4
37,98.01,98.52,98.4
38,97.96,98.48,98.31
39,97.98,98.55,98.38
40,98.04,98.6,98.37
41,98.03,98.53,98.35
42,97.96,98.55,98.41
43,98.07,98.56,98.37
44,98.01,98.52,98.37
45,98.04,98.53,98.37
46,97.98,98.56,98.37
47,97.94,98.5,98.4
48,98.03,98.52,98.42
49,98.01,98.51,98.43
50,98.06,98.59,98.4
51,97.95,98.53,98.45
52,98.04,98.59,98.39
53,98.05,98.58,98.43
54,98.1,98.59,98.46
55,98.07,98.57,98.42
56,98.01,98.59,98.39
57,98.06,98.58,98.42
58,98.01,98.63,98.43
59,98.12,98.55,98.43
60,98.04,98.55,98.44
61,98.05,98.58,98.45
62,98.08,98.54,98.43
63,98.0,98.6,98.43
64,97.96,98.59,98.42
65,97.99,98.59,98.43
66,97.96,98.58,98.43
67,98.01,98.58,98.46
68,98.01,98.6,98.44
69,97.9,98.63,98.42
70,98.03,98.57,98.47
71,98.12,98.56,98.44
72,98.0,98.56,98.45
73,98.04,98.52,98.43
74,98.04,98.6,98.44
75,98.1,98.57,98.46
76,98.01,98.58,98.43
77,98.12,98.6,98.41
78,98.08,98.57,98.42
79,98.06,98.57,98.4
80,97.98,98.55,98.42
81,98.13,98.59,98.44
82,98.03,98.55,98.43
83,97.99,98.59,98.42
84,98.13,98.6,98.42
85,97.92,98.6,98.42
86,98.03,98.61,98.43
87,98.0,98.59,98.41
88,98.12,98.6,98.45
89,98.07,98.58,98.43
90,98.1,98.58,98.43
91,98.01,98.58,98.42
92,98.09,98.58,98.42
93,97.99,98.61,98.42
94,98.01,98.58,98.42
95,98.09,98.6,98.42
96,98.05,98.61,98.42
97,98.07,98.59,98.42
98,98.03,98.6,98.43
99,98.11,98.58,98.41
100,98.1,98.59,98.41
101,98.07,98.6,98.43
102,98.06,98.6,98.41
103,98.01,98.6,98.41
104,98.1,98.6,98.42
105,98.07,98.61,98.43
106,97.99,98.61,98.42
107,98.02,98.6,98.42
108,98.01,98.6,98.42
109,98.08,98.6,98.41
110,98.03,98.59,98.42
111,98.04,98.58,98.41
112,98.07,98.61,98.42
113,98.02,98.58,98.42
114,98.1,98.6,98.42
115,98.16,98.6,98.42
116,98.08,98.58,98.42
117,98.15,98.59,98.42
118,98.03,98.6,98.41
119,98.02,98.58,98.42
120,98.14,98.6,98.41
121,98.03,98.59,98.42
122,98.13,98.59,98.42
123,98.07,98.59,98.41
124,98.01,98.59,98.42
125,98.07,98.59,98.41
126,98.09,98.6,98.42
127,98.01,98.61,98.42
128,98.06,98.6,98.41
129,98.04,98.6,98.41
130,98.08,98.6,98.41
131,98.05,98.61,98.41
132,98.09,98.61,98.42
133,98.12,98.62,98.42
134,98.02,98.61,98.41
135,98.12,98.6,98.42
136,98.06,98.62,98.41
137,98.13,98.6,98.41
138,98.0,98.6,98.41
139,98.01,98.61,98.41
140,98.03,98.62,98.41
141,98.11,98.62,98.41
142,98.1,98.61,98.41
143,98.08,98.61,98.41
144,98.09,98.62,98.41
145,98.01,98.62,98.41
146,98.11,98.62,98.41
147,98.0,98.63,98.41
148,97.93,98.62,98.41
149,98.07,98.62,98.41
150,98.02,98.62,98.41
151,98.01,98.62,98.41
152,98.03,98.62,98.41
153,97.99,98.61,98.41
154,98.08,98.61,98.41
155,98.1,98.6,98.41
156,98.05,98.6,98.41
157,98.09,98.6,98.41
158,97.99,98.61,98.41
159,98.12,98.61,98.41
160,98.0,98.61,98.41
161,98.01,98.62,98.41
162,98.02,98.61,98.41
163,98.09,98.62,98.41
164,98.06,98.62,98.41
165,98.06,98.61,98.41
166,98.03,98.61,98.41
167,98.06,98.61,98.41
168,98.03,98.61,98.41
169,98.06,98.61,98.41
170,98.04,98.6,98.41
171,98.0,98.6,98.41
172,98.07,98.6,98.41
173,98.1,98.6,98.41
174,98.03,98.6,98.41
175,98.06,98.6,98.41
